token_level,random_seed,loss,accuracy
word_level,0,0.8503208756446838,0.8632
word_level,1,0.8981545567512512,0.8626
word_level,2,0.9376088976860046,0.86836
char_level,0,0.6742381453514099,0.56792
char_level,1,0.6572783589363098,0.61088
char_level,2,0.6570423245429993,0.60952
